"","id","age","female","performance","retreat","sales"
"1",1,44,0,91.69,FALSE,2236558.96557153
"2",2,50,1,69.55,TRUE,1959096.15711663
"3",3,46,0,47.98,TRUE,1540035.28441496
"4",4,44,1,98.37,FALSE,2215690.76013506
"5",5,47,0,66.1,TRUE,1830688.26223401
"6",6,38,1,64.24,TRUE,1762705.89952474
"7",7,50,1,84.5,FALSE,2196619.40193704
"8",8,49,1,84.11,FALSE,2068816.10910101
"9",9,41,1,84.36,FALSE,2210021.28246118
"10",10,55,1,88.44,FALSE,2216356.33981002
"11",11,44,1,83.12,FALSE,2016413.06867535
"12",12,48,0,89.63,FALSE,2145601.30887318
"13",13,44,0,87.11,FALSE,2066064.31832664
"14",14,49,1,73.95,TRUE,1955252.6936513
"15",15,49,0,51.83,TRUE,1522821.90171724
"16",16,52,0,77.21,TRUE,1979203.04837265
"17",17,43,1,83.61,FALSE,2165948.5926209
"18",18,45,0,88.68,FALSE,2160949.1144256
"19",19,50,1,87.83,FALSE,2176792.64947462
"20",20,46,1,72.57,TRUE,2059507.28307221
"21",21,58,0,83.32,FALSE,2100600.46507429
"22",22,44,1,82.58,FALSE,2068192.00870312
"23",23,40,1,65.37,TRUE,1837583.998777
"24",24,54,0,86.08,FALSE,2173304.04815945
"25",25,60,0,93.72,FALSE,2216079.29072066
"26",26,46,1,62.52,TRUE,1680167.33492959
"27",27,44,1,89.9,FALSE,2200386.32318158
"28",28,41,1,75.48,TRUE,2108525.8140076
"29",29,45,1,88.96,FALSE,2174402.41238971
"30",30,34,0,47.42,TRUE,1560917.87962385
"31",31,47,0,83.1,FALSE,2119580.35450132
"32",32,51,0,86.28,FALSE,2124137.04054725
"33",33,50,0,83.47,FALSE,2175812.37955016
"34",34,45,1,95,FALSE,2211585.78495301
"35",35,55,1,91.32,FALSE,2107042.66717981
"36",36,42,1,97.81,FALSE,2207836.87709232
"37",37,62,1,92.86,FALSE,2188473.30925327
"38",38,49,0,80.33,FALSE,2019814.63899959
"39",39,41,1,82.96,FALSE,1930532.92828903
"40",40,46,0,90.36,FALSE,2064752.69431488
"41",41,44,1,88.05,FALSE,2189894.59826298
"42",42,45,1,80.11,FALSE,2034791.85982621
"43",43,54,1,89.59,FALSE,2208656.60398815
"44",44,43,1,89.31,FALSE,2283013.39141914
"45",45,36,0,90.74,FALSE,2162842.32157364
"46",46,43,0,92.1,FALSE,2208507.64998085
"47",47,50,0,83.79,FALSE,2132830.40370753
"48",48,39,1,83.41,FALSE,2052331.73324579
"49",49,46,0,96.08,FALSE,2181371.80905162
"50",50,49,1,84.6,FALSE,2027987.18809246
"51",51,53,1,90.76,FALSE,2176893.37090351
"52",52,42,0,89.81,FALSE,2219409.93622696
"53",53,50,1,78.13,TRUE,1997959.19653378
"54",54,50,1,62.82,TRUE,1757126.18555188
"55",55,43,0,29.04,TRUE,1398785.34317315
